detector,window,source,anomaly_type,base,seed,mag,stream,family,pr_auc,vus_pr,f1,precision,recall,mcc,pa_f1,nab,nab_low_fp,detected_frac,latency,fp_per_1k,threshold,anomaly_ratio
hampel,30,syn,spike,trend,1,4.0,syn|spike|trend|s1|m4.0,robust,0.8333333333333333,0.22902392317478804,0.8,1.0,0.6666666666666666,0.8158136058346189,0.5,64.13806066595855,64.13806066595855,0.6666666666666666,0.0,0.0,2.911269670051713,0.005
hampel,30,syn,spike,trend,2,4.0,syn|spike|trend|s2|m4.0,robust,0.14946236559139786,0.08543102757791919,0.30769230769230765,0.2,0.6666666666666666,0.35992504116975665,0.16666666666666666,79.16796988225853,68.16796988225852,0.6666666666666666,0.0,13.333333333333334,2.1209718257585806,0.005
hampel,30,syn,spike,trend,3,4.0,syn|spike|trend|s3|m4.0,robust,0.2293735676088617,0.11533276240269981,0.4,0.5,0.3333333333333333,0.4058570199880768,0.16666666666666666,30.235696999645942,28.40236366631261,0.3333333333333333,0.0,1.6666666666666667,2.740277451562341,0.005
hampel,30,syn,spike,trend,4,4.0,syn|spike|trend|s4|m4.0,robust,0.43846153846153846,0.15158195766406435,0.5,1.0,0.3333333333333333,0.5763856064118864,0.5,32.069030332979274,32.069030332979274,0.3333333333333333,0.0,0.0,3.8962875366806786,0.005
hampel,30,syn,spike,trend,0,6.0,syn|spike|trend|s0|m6.0,robust,0.7254901960784313,0.2008184140569395,0.8,1.0,0.6666666666666666,0.8158136058346189,0.5,64.13806066595855,64.13806066595855,0.6666666666666666,0.0,0.0,3.390120589418495,0.005
hampel,30,syn,spike,trend,1,6.0,syn|spike|trend|s1|m6.0,robust,1.0,0.26206747738355474,1.0,1.0,1.0,1.0,0.5,96.20709099893783,96.20709099893783,1.0,0.0,0.0,3.29173652212644,0.005
hampel,30,syn,spike,trend,2,6.0,syn|spike|trend|s2|m6.0,robust,0.6666666666666666,0.18889753823986047,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6649916247906198,0.5,89.13806066595855,89.13806066595855,0.6666666666666666,0.0,1.6666666666666667,3.0408183139096314,0.005
hampel,30,syn,spike,trend,3,6.0,syn|spike|trend|s3|m6.0,robust,0.5648148148148149,0.18385820514303627,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6649916247906198,0.5,62.30472733262522,60.471393999291884,0.6666666666666666,0.0,1.6666666666666667,3.01457199418925,0.005
hampel,30,syn,spike,trend,4,6.0,syn|spike|trend|s4|m6.0,robust,0.7555555555555555,0.21487047969999462,0.7499999999999999,0.6,1.0,0.7732980988911997,0.5,92.54042433227117,88.87375766560449,1.0,0.0,3.3333333333333335,2.7879509359099632,0.005
hampel,30,syn,spike,trend,0,9.0,syn|spike|trend|s0|m9.0,robust,1.0,0.2552257912858314,1.0,1.0,1.0,1.0,0.5,96.20709099893783,96.20709099893783,1.0,0.0,0.0,4.412359606442056,0.005
hampel,30,syn,spike,trend,1,9.0,syn|spike|trend|s1|m9.0,robust,1.0,0.26206747738355474,1.0,1.0,1.0,1.0,0.5,96.20709099893783,96.20709099893783,1.0,0.0,0.0,4.804992003024988,0.005
hampel,30,syn,spike,trend,2,9.0,syn|spike|trend|s2|m9.0,robust,1.0,0.25403824470479996,1.0,1.0,1.0,1.0,0.5,96.20709099893783,96.20709099893783,1.0,0.0,0.0,3.4897529326190084,0.005
hampel,30,syn,spike,trend,3,9.0,syn|spike|trend|s3|m9.0,robust,0.8333333333333333,0.23944713137731288,0.8,1.0,0.6666666666666666,0.8158136058346189,0.5,64.13806066595855,64.13806066595855,0.6666666666666666,0.0,0.0,4.364658604062632,0.005
hampel,30,syn,spike,trend,4,9.0,syn|spike|trend|s4|m9.0,robust,1.0,0.2633343592061858,1.0,1.0,1.0,1.0,0.5,96.20709099893783,96.20709099893783,1.0,0.0,0.0,4.265234604631635,0.005
hampel,30,syn,spike,bursty,0,4.0,syn|spike|bursty|s0|m4.0,robust,0.9166666666666666,0.26648561173925883,0.8571428571428571,0.75,1.0,0.8652997853882577,0.5,96.20709099893783,96.20709099893783,1.0,0.0,1.6666666666666667,4.343188496808677,0.005
hampel,30,syn,spike,bursty,1,4.0,syn|spike|bursty|s1|m4.0,robust,0.036153846153846154,0.044716795248940844,0.09523809523809523,0.05,1.0,0.2126643615025008,0.09230769230769231,-8.29290900106218,-112.79290900106217,1.0,0.0,95.0,1.9297560113116825,0.005
hampel,30,syn,spike,bursty,2,4.0,syn|spike|bursty|s2|m4.0,robust,0.4305555555555556,0.1493951176388449,0.5,1.0,0.3333333333333333,0.5763856064118864,0.5,32.069030332979274,32.069030332979274,0.3333333333333333,0.0,0.0,4.317391252840329,0.005
hampel,30,syn,spike,bursty,3,4.0,syn|spike|bursty|s3|m4.0,robust,0.4219298245614035,0.16541521053581903,0.5,1.0,0.3333333333333333,0.5763856064118864,0.5,32.069030332979274,32.069030332979274,0.3333333333333333,0.0,0.0,9.505857256953098,0.005
hampel,30,syn,spike,bursty,4,4.0,syn|spike|bursty|s4|m4.0,robust,0.3726729891113453,0.1244803749995771,0.5,1.0,0.3333333333333333,0.5763856064118864,0.5,32.069030332979274,32.069030332979274,0.3333333333333333,0.0,0.0,5.130141441792978,0.005
hampel,30,syn,spike,bursty,0,6.0,syn|spike|bursty|s0|m6.0,robust,1.0,0.2818022816013832,1.0,1.0,1.0,1.0,0.5,96.20709099893783,96.20709099893783,1.0,0.0,0.0,5.783692017407453,0.005
hampel,30,syn,spike,bursty,1,6.0,syn|spike|bursty|s1|m6.0,robust,0.10866013071895425,0.05923189406112921,0.2222222222222222,0.125,1.0,0.3472794481039396,0.16666666666666666,57.70709099893782,19.207090998937826,1.0,0.0,35.0,2.804338051319024,0.005
hampel,30,syn,spike,bursty,2,6.0,syn|spike|bursty|s2|m6.0,robust,0.9166666666666666,0.24577215074774775,0.8571428571428571,0.75,1.0,0.8652997853882577,0.5,94.37375766560449,92.54042433227117,1.0,0.0,1.6666666666666667,4.018823619722723,0.005
hampel,30,syn,spike,bursty,3,6.0,syn|spike|bursty|s3|m6.0,robust,0.696969696969697,0.2228933726411971,0.8,1.0,0.6666666666666666,0.8158136058346189,0.5,64.13806066595855,64.13806066595855,0.6666666666666666,0.0,0.0,4.916331898091834,0.005
hampel,30,syn,spike,bursty,4,6.0,syn|spike|bursty|s4|m6.0,robust,0.7051282051282051,0.1915556187975814,0.8,1.0,0.6666666666666666,0.8158136058346189,0.5,64.13806066595855,64.13806066595855,0.6666666666666666,0.0,0.0,5.118822505155868,0.005
hampel,30,syn,spike,bursty,0,9.0,syn|spike|bursty|s0|m9.0,robust,1.0,0.2818022816013832,1.0,1.0,1.0,1.0,0.5,96.20709099893783,96.20709099893783,1.0,0.0,0.0,7.944447298305616,0.005
hampel,30,syn,spike,bursty,1,9.0,syn|spike|bursty|s1|m9.0,robust,0.3055555555555556,0.09864856758554255,0.5,0.3333333333333333,1.0,0.5744416851006198,0.25,85.20709099893783,74.20709099893783,1.0,0.0,10.0,4.116211111330037,0.005
hampel,30,syn,spike,bursty,2,9.0,syn|spike|bursty|s2|m9.0,robust,1.0,0.2622939278521311,1.0,1.0,1.0,1.0,0.5,96.20709099893783,96.20709099893783,1.0,0.0,0.0,6.056237554213362,0.005
hampel,30,syn,spike,bursty,3,9.0,syn|spike|bursty|s3|m9.0,robust,0.8333333333333333,0.25052338328242674,0.8,1.0,0.6666666666666666,0.8158136058346189,0.5,64.13806066595855,64.13806066595855,0.6666666666666666,0.0,0.0,7.487233120182143,0.005
hampel,30,syn,spike,bursty,4,9.0,syn|spike|bursty|s4|m9.0,robust,1.0,0.2501327918452228,1.0,1.0,1.0,1.0,0.5,96.20709099893783,96.20709099893783,1.0,0.0,0.0,4.695312860346058,0.005
hampel,30,syn,drift,flat,0,4.0,syn|drift|flat|s0|m4.0,robust,0.21644216070587072,0.2251297768471437,0.3434343434343435,0.2230971128608924,0.7456140350877193,0.11127849193707412,0.9306122448979592,-1759.3346425462141,-3618.334642546214,1.0,2.0,490.0,0.4851794340129991,0.19
hampel,30,syn,drift,flat,1,4.0,syn|drift|flat|s1|m4.0,robust,0.724574303112473,0.7315014779742021,0.8439646712463199,0.7300509337860781,1.0,0.21734440373107566,1.0,-2804.334642546214,-5708.334642546214,1.0,0.0,260.0,0.0013879305213937807,0.7166666666666667
hampel,30,syn,drift,flat,2,4.0,syn|drift|flat|s2|m4.0,robust,0.8408497875806811,0.8552436279529408,0.9068901303538176,0.8310580204778157,0.9979508196721312,0.29430368263515055,1.0,-2793.334642546214,-5686.334642546214,1.0,0.0,160.0,0.009654217469373333,0.8133333333333334
hampel,30,syn,drift,flat,3,4.0,syn|drift|flat|s3|m4.0,robust,0.8195547444009068,0.8328237048864913,0.9050279329608939,0.826530612244898,1.0,0.29496308640500796,0.9948822927328557,-2798.834642546214,-5697.334642546214,1.0,0.0,165.0,0.004193958853576954,0.81
hampel,30,syn,drift,flat,4,4.0,syn|drift|flat|s4|m4.0,robust,0.3802060160209275,0.390780661132764,0.515802781289507,0.3475298126064736,1.0,0.10681201701824307,1.0,-2798.834642546214,-5697.334642546214,1.0,0.0,633.3333333333334,0.004421339442614602,0.34
hampel,30,syn,drift,flat,0,6.0,syn|drift|flat|s0|m6.0,robust,0.22470975200255783,0.23304239359526002,0.3434343434343435,0.2230971128608924,0.7456140350877193,0.11127849193707412,0.9306122448979592,-1753.8346425462141,-3607.334642546214,1.0,2.0,490.0,0.4851794340129991,0.19
