detector,window,anomaly_type,pr_auc,vus_pr,f1,precision,recall,mcc,pa_f1,nab,nab_low_fp,detected_frac,latency,fp_per_1k
deriv,10,periodicity,0.13957337192447594,0.15870884608891242,0.24053881310804792,0.1478509289535575,0.6853333333333333,0.07698420252702701,0.8738728366902461,-1637.2688876667212,-3374.1688876667213,1.0,0.2,499.3333333333333
deriv,10,transient,0.6987580864381517,0.26837768222912334,0.7720775058275058,0.8884126984126984,0.7046825396825397,0.7822045316397798,0.42679271304781136,86.25448969600448,85.54407302933781,0.9041666666666667,0.025,0.8611111111111112
deriv,10,real,0.10341011631888557,0.10984563533828175,0.18663546640362946,0.10437018355150221,0.9320341754706544,0.04081810740902102,0.8627816314368485,-11360.258061350016,-22820.01877563573,1.0,0.5,795.3144701663193
deriv,20,spike,0.6585881577652368,0.2448907393319916,0.7068241310346574,0.8277579365079365,0.6833333333333333,0.7280171516823368,0.44185185185185183,66.7076339098567,64.96596724319002,0.711111111111111,0.03333333333333333,1.6388888888888888
deriv,20,drift,0.5622984490052161,0.572321500793639,0.6887495167045493,0.5652859889927395,0.9857094806609286,0.14706250991563596,0.9802388265603671,-2753.5527527308946,-5606.769419397561,1.0,0.0,406.9166666666667
deriv,20,periodicity,0.1481722208068837,0.16683846811706876,0.24207370219704732,0.15231070654655357,0.6613333333333333,0.0845134010132941,0.9347593582887701,-1544.8972513122783,-3189.397251312278,1.0,0.0,473.6666666666667
deriv,20,transient,0.7162306830214058,0.30658268823385637,0.7786315536315537,0.9105555555555556,0.7042460317460317,0.7907745985534337,0.4409333513819981,87.40758520711853,87.0867518737852,0.9125,0.0375,0.38888888888888895
deriv,20,real,0.10481574773973476,0.1107703641911394,0.18644296708786912,0.10370779279862997,0.9557554328706359,0.04162451228232815,0.8645614149995641,-11591.546156588112,-23282.59496611192,1.0,0.5,818.234119755144
deriv,30,spike,0.6698239123352174,0.26190883507116686,0.7172420634920635,0.8504487179487179,0.6833333333333333,0.739577678767074,0.45296296296296296,66.44260985074715,65.55649873963604,0.7,0.025,0.8055555555555556
deriv,30,drift,0.5638932029494087,0.5741274492508839,0.6912680104944015,0.5685931957941494,0.9855202958376332,0.1789914384938289,0.982351886282716,-2734.119419397561,-5567.9027527308945,1.0,0.0,401.02777777777777
deriv,30,periodicity,0.15620014815491193,0.174312717161231,0.2451069413110384,0.16729584401256456,0.6213333333333333,0.0931309952745192,0.9304559693699964,-1435.4800144943222,-2969.980014494322,1.0,0.2,439.0
deriv,30,transient,0.7043086012423286,0.32235288524961697,0.7641089466089466,0.8874867724867724,0.6981349206349207,0.7762788606502244,0.4442843213996347,86.26700777759517,85.99200777759516,0.9,0.03333333333333333,0.3333333333333333
deriv,30,real,0.10618003196222583,0.11188106547840056,0.18666634357895986,0.10592179197474584,0.902473116589949,0.044240070973291516,0.8754763609928778,-11121.99348159878,-22343.47324350354,1.0,0.75,767.7222281397413
deriv,50,spike,0.6629875398790739,0.2780955601432301,0.7050369458128078,0.7996153846153846,0.6944444444444444,0.7233127362272153,0.45425925925925925,67.38281499640163,66.34392610751276,0.711111111111111,0.02222222222222222,0.9444444444444445
deriv,50,drift,0.5654858007397282,0.5757409000492578,0.6958245156904217,0.574574474721708,0.9886151947148059,0.22536220929964149,0.9839595921899721,-2712.761086064228,-5525.186086064228,1.0,0.0,393.94444444444446
deriv,50,periodicity,0.1753671567776561,0.19145413396667887,0.25796722542453365,0.21154160258084195,0.5813333333333334,0.12373438948419639,0.9343653250773993,-1266.080014494322,-2631.1800144943218,1.0,0.2,391.33333333333337
deriv,50,transient,0.6865529761261621,0.3350694155949744,0.7400535657153304,0.862936507936508,0.6874603174603174,0.755201061254747,0.46103917148781814,84.24985417355505,83.95193750688837,0.8791666666666667,0.020833333333333332,0.3611111111111111
deriv,50,real,0.10873432793612244,0.11413660478129108,0.18729029032064118,0.10723077988343024,0.8954495375833916,0.04823768609943979,0.8855816512930993,-11120.90282161803,-22341.21055971327,1.0,0.8392857142857143,759.4202883658951
acf_periodicity,10,spike,0.009089778638295331,0.06887926348645265,0.024009848420336526,0.012826893878170634,0.7388888888888889,0.04244988475373367,0.020552055844049604,-410.3996785619257,-914.2302341174814,0.8444444444444444,0.24166666666666667,496.1666666666667
acf_periodicity,10,drift,0.531788276394066,0.5388222935975295,0.6821368856293339,0.5573449332704155,0.993843629250966,0.012956586208240755,0.9784693213385608,-2837.2434570522187,-5774.151790385552,1.0,0.0,431.38888888888886
acf_periodicity,10,periodicity,0.5068004225482691,0.5073059213455194,0.5369054898021841,0.5514316239316239,0.5626666666666666,0.48014638642007235,1.0,-275.38599303395085,-646.0859930339509,1.0,8.6,67.0
acf_periodicity,10,transient,0.013907427342236746,0.11227204348483691,0.03927923923168908,0.021580819572425393,0.7273015873015873,0.06243718247243981,0.04166475721276265,-247.47747567116394,-588.5233090044973,0.85,0.3972222222222222,442.19444444444446
acf_periodicity,10,real,0.1031890487704631,0.11028774649729685,0.20594800670740168,0.12521494283328266,0.9144595230926049,0.0305256926003043,0.8225868879424615,-9702.760938674302,-19505.168676769543,1.0,2.5714285714285716,789.0999642769501
acf_periodicity,20,spike,0.014061895963085295,0.09051516152900158,0.04183312787260851,0.02395321038769384,0.6277777777777778,0.07371969198694066,0.03201008743285601,-201.66782023389024,-486.9650424561125,0.6666666666666666,0.14166666666666666,285.52777777777777
acf_periodicity,20,drift,0.58510528302949,0.59516454582691,0.6839572895794501,0.5611799030314483,0.98889888160356,0.03988990408724397,0.9889050782758505,-2802.7787974398575,-5705.220464106524,1.0,0.0,422.44444444444446
